index,year,n
0,2010,248111618.79999924
1,2011,235070086.20000076
2,2012,222028553.59999847
3,2013,208987021.0
4,2014,195945488.40000153
5,2015,182903955.79999924
6,2016,169862423.20000076
7,2017,156820890.59999847
8,2018,156033976.0
9,2019,166102314.0
10,2020,52799881.0
11,2021,79335646.0
12,2022,134209647.0
